code,name,ex_dividend_date,dividend,payment_date,yield
7106,Supermax Corporation Bhd (SUPM),"Jun 24, 2016",0.04,"Jul 18, 2016",1.89%
4197,Sime Darby Bhd (SIME),"Sep 27, 2018",0.06,"Oct 31, 2018",2.31%
4197,Sime Darby Bhd (SIME),"Apr 17, 2018",0.19,"May 04, 2018",7.42%
4197,Sime Darby Bhd (SIME),"Dec 04, 2017",0.23,"Dec 20, 2017",8.42%
4197,Sime Darby Bhd (SIME),"Apr 19, 2017",0.27,"May 05, 2017",2.98%
4197,Sime Darby Bhd (SIME),"Nov 14, 2016",0.27,"Dec 15, 2016",2.93%
4197,Sime Darby Bhd (SIME),"Apr 19, 2016",0.25,"May 06, 2016",3.27%
5183,Petronas Chemicals Group Bhd (PCGB),"Aug 29, 2018",0.29,"Sep 20, 2018",3.07%
5183,Petronas Chemicals Group Bhd (PCGB),"Mar 05, 2018",0.27,"Mar 21, 2018",2.97%
5183,Petronas Chemicals Group Bhd (PCGB),"Aug 23, 2017",0.24,"Sep 08, 2017",2.96%
5183,Petronas Chemicals Group Bhd (PCGB),"Mar 03, 2017",0.19,"Mar 21, 2017",2.70%
5183,Petronas Chemicals Group Bhd (PCGB),"Aug 22, 2016",0.17,"Sep 07, 2016",2.62%
5183,Petronas Chemicals Group Bhd (PCGB),"Mar 07, 2016",0.18,"Mar 23, 2016",2.73%
7022,Globetronics Tech Bhd (GNIC),"Jun 27, 2018",0.0186,"Jul 11, 2018",0.69%
7022,Globetronics Tech Bhd (GNIC),"Mar 15, 2018",0.0257,"Mar 30, 2018",1.18%
7022,Globetronics Tech Bhd (GNIC),"Nov 07, 2017",0.04,"Nov 21, 2017",0.65%
7022,Globetronics Tech Bhd (GNIC),"Jun 16, 2017",0.04,"Jul 04, 2017",0.63%
7022,Globetronics Tech Bhd (GNIC),"Mar 13, 2017",0.02,"Mar 29, 2017",0.38%
7022,Globetronics Tech Bhd (GNIC),"Oct 20, 2016",0.06,"Nov 03, 2016",1.36%
4863,Telekom Malaysia Bhd (TLMM),"Mar 14, 2018",0.215,"Apr 13, 2018",6.87%
4863,Telekom Malaysia Bhd (TLMM),"Sep 13, 2017",0.216,"Oct 13, 2017",3.60%
4863,Telekom Malaysia Bhd (TLMM),"Mar 07, 2017",0.215,"Mar 24, 2017",3.33%
4863,Telekom Malaysia Bhd (TLMM),"Sep 15, 2016",0.214,"Oct 07, 2016",3.47%
4863,Telekom Malaysia Bhd (TLMM),"Mar 08, 2016",0.214,"Mar 24, 2016",3.11%
4863,Telekom Malaysia Bhd (TLMM),"Sep 07, 2015",0.227,"Sep 23, 2015",3.41%
6963,VS Industry Bhd (VSID),"Jul 12, 2018",0.045,"Jul 31, 2018",2.87%
6963,VS Industry Bhd (VSID),"Apr 10, 2018",0.052,"Apr 27, 2018",3.74%
6963,VS Industry Bhd (VSID),"Feb 21, 2018",0.062,"Mar 12, 2018",2.41%
6963,VS Industry Bhd (VSID),"Jan 10, 2018",0.062,"Jan 30, 2018",2.07%
6963,VS Industry Bhd (VSID),"Oct 12, 2017",0.049,"Oct 27, 2017",1.62%
6963,VS Industry Bhd (VSID),"Jul 10, 2017",0.0483,"Jul 28, 2017",1.85%
5168,Hartalega Holdings Bhd (HTHB),"Sep 12, 2018",0.0795,"Sep 28, 2018",1.14%
5168,Hartalega Holdings Bhd (HTHB),"Jun 08, 2018",0.07,"Jun 27, 2018",1.00%
5168,Hartalega Holdings Bhd (HTHB),"Mar 07, 2018",0.06,"Mar 28, 2018",1.00%
5168,Hartalega Holdings Bhd (HTHB),"Dec 06, 2017",0.1,"Dec 28, 2017",0.88%
5168,Hartalega Holdings Bhd (HTHB),"Sep 13, 2017",0.085,"Sep 27, 2017",1.10%
5168,Hartalega Holdings Bhd (HTHB),"Jun 07, 2017",0.08,"Jun 23, 2017",1.14%
5277,FoundPac Group Bhd (FOUN),"Jun 06, 2018",0.01,"Jun 28, 2018",2.94%
5277,FoundPac Group Bhd (FOUN),"May 31, 2017",0.0071,"Jun 23, 2017",3.23%
8311,Pesona Metro Holdings Bhd (PESO),"Jun 18, 2018",0.01,"Jul 12, 2018",3.23%
8311,Pesona Metro Holdings Bhd (PESO),"May 29, 2017",0.02,"Jun 22, 2017",6.67%
8311,Pesona Metro Holdings Bhd (PESO),"Sep 13, 2016",0.015,"Oct 06, 2016",2.17%
8311,Pesona Metro Holdings Bhd (PESO),"Jun 15, 2016",0.01,"Jun 30, 2016",2.53%
8311,Pesona Metro Holdings Bhd (PESO),"Mar 11, 2015",0.01,"Mar 26, 2015",2.74%
5072,Hiap Teck Venture Bhd (HTVE),"Jan 04, 2017",0.003,"Jan 25, 2017",0.80%
5072,Hiap Teck Venture Bhd (HTVE),"Jan 06, 2016",0.003,"Jan 27, 2016",0.97%
5398,Gamuda Bhd (GAMU),"Jul 12, 2018",0.12,"Jul 31, 2018",3.39%
5398,Gamuda Bhd (GAMU),"Jan 03, 2018",0.12,"Jan 25, 2018",3.76%
5398,Gamuda Bhd (GAMU),"Jul 12, 2017",0.12,"Jul 28, 2017",2.53%
5398,Gamuda Bhd (GAMU),"Jan 03, 2017",0.12,"Jan 25, 2017",2.20%
5398,Gamuda Bhd (GAMU),"Jul 14, 2016",0.12,"Jul 28, 2016",2.48%
5398,Gamuda Bhd (GAMU),"Jan 12, 2016",0.12,"Jan 29, 2016",2.48%
4715,Genting Malaysia Bhd (GENM),"Sep 14, 2018",0.11,"Oct 10, 2018",2.25%
4715,Genting Malaysia Bhd (GENM),"Jun 06, 2018",0.09,"Jun 28, 2018",1.74%
4715,Genting Malaysia Bhd (GENM),"Sep 11, 2017",0.102,"Oct 04, 2017",2.09%
4715,Genting Malaysia Bhd (GENM),"May 31, 2017",0.092,"Jun 21, 2017",1.53%
4715,Genting Malaysia Bhd (GENM),"Sep 28, 2016",0.073,"Oct 24, 2016",1.34%
4715,Genting Malaysia Bhd (GENM),"Jun 28, 2016",0.071,"Jul 26, 2016",1.66%
5225,IHH Healthcare Bhd (IHHH),"Jun 27, 2018",0.03,"Jul 18, 2018",0.54%
5225,IHH Healthcare Bhd (IHHH),"Jun 28, 2017",0.03,"Jul 18, 2017",0.50%
5225,IHH Healthcare Bhd (IHHH),"Jun 28, 2016",0.03,"Jul 18, 2016",0.50%
5225,IHH Healthcare Bhd (IHHH),"Jul 01, 2015",0.03,"Jul 22, 2015",0.46%
1155,Malayan Banking Bhd (MBBM),"Sep 28, 2018",0.57,"Oct 30, 2018",5.82%
1155,Malayan Banking Bhd (MBBM),"Jun 05, 2018",0.55,"Jul 06, 2018",5.56%
1155,Malayan Banking Bhd (MBBM),"Sep 29, 2017",0.55,"Nov 01, 2017",5.06%
1155,Malayan Banking Bhd (MBBM),"May 04, 2017",0.52,"Jun 06, 2017",5.36%
1155,Malayan Banking Bhd (MBBM),"Sep 23, 2016",0.5,"Oct 25, 2016",5.52%
1155,Malayan Banking Bhd (MBBM),"May 04, 2016",0.54,"Jun 03, 2016",6.79%
1295,Public Bank Bhd (PUBM),"Sep 05, 2018",0.66,"Sep 19, 2018",2.64%
1295,Public Bank Bhd (PUBM),"Mar 13, 2018",0.61,"Mar 23, 2018",2.50%
1295,Public Bank Bhd (PUBM),"Aug 07, 2017",0.59,"Aug 17, 2017",2.66%
1295,Public Bank Bhd (PUBM),"Feb 16, 2017",0.58,"Feb 28, 2017",2.85%
1295,Public Bank Bhd (PUBM),"Aug 10, 2016",0.58,"Aug 22, 2016",2.98%
1295,Public Bank Bhd (PUBM),"Feb 18, 2016",0.56,"Mar 01, 2016",2.86%
6742,YTL Power International Bhd (YTLP),"Oct 25, 2018",0.05,"Nov 13, 2018",4.95%
6742,YTL Power International Bhd (YTLP),"Oct 24, 2017",0.05,"Nov 10, 2017",4.39%
6742,YTL Power International Bhd (YTLP),"Oct 27, 2016",0.1,"Nov 15, 2016",6.99%
6742,YTL Power International Bhd (YTLP),"Oct 05, 2015",0.1,"Oct 23, 2015",6.76%
5253,Econpile Holdings Bhd (ECOH),"Jun 08, 2018",0.016,"Jun 26, 2018",1.82%
5253,Econpile Holdings Bhd (ECOH),"Dec 06, 2017",0.018,"Dec 21, 2017",2.71%
5253,Econpile Holdings Bhd (ECOH),"Jun 08, 2017",0.045,"Jun 22, 2017",1.53%
5253,Econpile Holdings Bhd (ECOH),"Dec 07, 2016",0.04,"Dec 21, 2016",1.63%
3182,Genting Bhd (GENT),"Sep 14, 2018",0.145,"Oct 12, 2018",1.82%
3182,Genting Bhd (GENT),"Jun 07, 2018",0.145,"Jul 02, 2018",1.67%
3182,Genting Bhd (GENT),"Sep 11, 2017",0.115,"Oct 06, 2017",1.30%
3182,Genting Bhd (GENT),"Jun 01, 2017",0.06,"Jun 23, 2017",0.61%
3182,Genting Bhd (GENT),"Jun 28, 2016",0.035,"Jul 28, 2016",0.37%
3182,Genting Bhd (GENT),"Jun 26, 2015",0.04,"Jul 27, 2015",0.44%
3336,IJM Corporation Bhd (IJMS),"Jun 27, 2018",0.06,"Jul 20, 2018",3.24%
3336,IJM Corporation Bhd (IJMS),"Dec 13, 2017",0.075,"Dec 28, 2017",3.71%
3336,IJM Corporation Bhd (IJMS),"Jun 28, 2017",0.075,"Jul 21, 2017",2.44%
3336,IJM Corporation Bhd (IJMS),"Dec 14, 2016",0.07,"Dec 28, 2016",2.01%
3336,IJM Corporation Bhd (IJMS),"Jun 21, 2016",0.07,"Jul 15, 2016",2.12%
3336,IJM Corporation Bhd (IJMS),"Dec 14, 2015",0.085,"Dec 23, 2015",2.44%
7249,Ewein Bhd (EWEI),"Jul 18, 2018",0.005,"Aug 17, 2018",0.63%
7249,Ewein Bhd (EWEI),"Jul 17, 2017",0.005,"Aug 18, 2017",1.52%
7249,Ewein Bhd (EWEI),"Jul 21, 2016",0.005,"Aug 24, 2016",0.65%
7249,Ewein Bhd (EWEI),"Jul 21, 2015",0.005,"Aug 20, 2015",0.52%
5014,Malaysia Airport Holdings Bhd (MAHB),"Sep 13, 2018",0.13,"Sep 28, 2018",1.45%
5014,Malaysia Airport Holdings Bhd (MAHB),"May 23, 2018",0.13,"Jun 06, 2018",1.42%
5014,Malaysia Airport Holdings Bhd (MAHB),"Aug 11, 2017",0.11,"Aug 25, 2017",1.24%
5014,Malaysia Airport Holdings Bhd (MAHB),"Jun 07, 2017",0.1,"Jun 16, 2017",1.14%
5014,Malaysia Airport Holdings Bhd (MAHB),"Aug 10, 2016",0.085,"Aug 29, 2016",0.97%
5014,Malaysia Airport Holdings Bhd (MAHB),"May 11, 2016",0.085,"Jun 03, 2016",1.44%
166,Inari Amertron Bhd (INAR),"Jun 06, 2018",0.0633,"Jul 06, 2018",2.75%
166,Inari Amertron Bhd (INAR),"Mar 13, 2018",0.062,"Apr 06, 2018",2.94%
166,Inari Amertron Bhd (INAR),"Dec 13, 2017",0.086,"Jan 08, 2018",2.51%
166,Inari Amertron Bhd (INAR),"Sep 18, 2017",0.0745,"Oct 06, 2017",2.57%
166,Inari Amertron Bhd (INAR),"Jun 06, 2017",0.0625,"Jul 06, 2017",2.51%
166,Inari Amertron Bhd (INAR),"Mar 15, 2017",0.0455,"Apr 06, 2017",2.07%
7113,Top Glove Corporation Bhd (TPGC),"Jul 02, 2018",0.155,"Jul 17, 2018",1.45%
7113,Top Glove Corporation Bhd (TPGC),"Jan 10, 2018",0.145,"Jan 25, 2018",1.27%
7113,Top Glove Corporation Bhd (TPGC),"Jul 03, 2017",0.145,"Jul 17, 2017",2.15%
7113,Top Glove Corporation Bhd (TPGC),"Jan 06, 2017",0.145,"Jan 23, 2017",2.50%
7113,Top Glove Corporation Bhd (TPGC),"Jun 29, 2016",0.12,"Jul 15, 2016",2.57%
7113,Top Glove Corporation Bhd (TPGC),"Jan 11, 2016",0.1,"Jan 28, 2016",1.99%
5098,Malaysia Steel Works KL Bhd (MSWK),"Jul 27, 2018",0.009,"Aug 21, 2018",1.22%
5098,Malaysia Steel Works KL Bhd (MSWK),"Jun 28, 2017",0.0085,"Jul 13, 2017",0.80%
5098,Malaysia Steel Works KL Bhd (MSWK),"Aug 06, 2015",0.0065,"Aug 28, 2015",0.80%
1171,Malaysia Building Society Bhd (MBSS),"Jul 05, 2018",0.05,"Aug 03, 2018",4.90%
1171,Malaysia Building Society Bhd (MBSS),"May 24, 2017",0.03,"Jun 22, 2017",2.59%
1171,Malaysia Building Society Bhd (MBSS),"May 17, 2016",0.029,"Jun 16, 2016",2.25%
1171,Malaysia Building Society Bhd (MBSS),"Apr 27, 2015",0.1,"May 28, 2015",7.69%
1171,Malaysia Building Society Bhd (MBSS),"May 06, 2014",0.0936,"Jun 05, 2014",-
4677,YTL Corporation Bhd (YTLS),"Oct 25, 2018",0.04,"Nov 13, 2018",3.28%
4677,YTL Corporation Bhd (YTLS),"Oct 24, 2017",0.05,"Nov 10, 2017",3.73%
4677,YTL Corporation Bhd (YTLS),"Oct 27, 2016",0.095,"Nov 15, 2016",6.79%
4677,YTL Corporation Bhd (YTLS),"Oct 05, 2015",0.095,"Oct 23, 2015",5.62%
5246,Westports Holdings Bhd (WPHB),"Aug 07, 2018",0.1335,"Aug 20, 2018",3.53%
5246,Westports Holdings Bhd (WPHB),"Feb 21, 2018",0.1432,"Mar 06, 2018",4.11%
5246,Westports Holdings Bhd (WPHB),"Aug 01, 2017",0.1307,"Aug 15, 2017",3.92%
5246,Westports Holdings Bhd (WPHB),"Feb 22, 2017",0.14,"Mar 08, 2017",3.81%
5246,Westports Holdings Bhd (WPHB),"Aug 09, 2016",0.1308,"Aug 23, 2016",2.96%
5246,Westports Holdings Bhd (WPHB),"Feb 17, 2016",0.111,"Mar 02, 2016",2.56%
4898,TA Enterprise Bhd (TAES),"Jun 27, 2018",0.041,"Jul 20, 2018",6.26%
4898,TA Enterprise Bhd (TAES),"Jun 28, 2017",0.017,"Jul 17, 2017",3.30%
4898,TA Enterprise Bhd (TAES),"Jun 28, 2016",0.0055,"Jul 15, 2016",0.86%
4898,TA Enterprise Bhd (TAES),"Jul 31, 2015",0.018,"Aug 19, 2015",3.24%
5250,7 Eleven Malaysia Holdings Bhd (SEVE),"May 07, 2018",0.027,"May 22, 2018",1.84%
5250,7 Eleven Malaysia Holdings Bhd (SEVE),"Apr 12, 2017",0.023,"Apr 28, 2017",1.52%
5250,7 Eleven Malaysia Holdings Bhd (SEVE),"Mar 15, 2016",0.023,"Mar 31, 2016",1.55%
5250,7 Eleven Malaysia Holdings Bhd (SEVE),"Mar 13, 2015",0.025,"Mar 31, 2015",1.71%
6888,Axiata Group Bhd (AXIA),"Jun 19, 2018",0.085,"Jul 19, 2018",1.89%
6888,Axiata Group Bhd (AXIA),"Oct 10, 2017",0.08,"Nov 09, 2017",1.81%
6888,Axiata Group Bhd (AXIA),"Jun 08, 2017",0.08,"Jul 11, 2017",1.56%
6888,Axiata Group Bhd (AXIA),"Oct 06, 2016",0.17,"Nov 07, 2016",3.41%
6888,Axiata Group Bhd (AXIA),"Jun 07, 2016",0.2,"Jul 08, 2016",3.80%
6888,Axiata Group Bhd (AXIA),"Sep 28, 2015",0.22,"Oct 29, 2015",4.08%
0186,Perak Transit Bhd (PERT),"May 25, 2018",0.0085,"Jun 13, 2018",2.79%
0186,Perak Transit Bhd (PERT),"Jan 18, 2018",0.0073,"Feb 09, 2018",2.81%
0186,Perak Transit Bhd (PERT),"Nov 22, 2017",0.0073,"Dec 13, 2017",2.47%
0186,Perak Transit Bhd (PERT),"Aug 24, 2017",0.0041,"Sep 15, 2017",1.22%
0186,Perak Transit Bhd (PERT),"Apr 26, 2017",0.0035,"May 19, 2017",1.13%
6012,Maxis Bhd (MXSC),"Aug 28, 2018",0.2,"Sep 27, 2018",3.47%
6012,Maxis Bhd (MXSC),"May 28, 2018",0.2,"Jun 28, 2018",3.64%
6012,Maxis Bhd (MXSC),"Feb 26, 2018",0.2,"Mar 29, 2018",3.44%
6012,Maxis Bhd (MXSC),"Nov 28, 2017",0.2,"Dec 28, 2017",3.28%
6012,Maxis Bhd (MXSC),"Aug 28, 2017",0.2,"Sep 28, 2017",3.47%
6012,Maxis Bhd (MXSC),"May 29, 2017",0.2,"Jun 29, 2017",3.60%
5211,Sunway Bhd (SWAY),"Sep 24, 2018",0.065,"Oct 18, 2018",4.17%
5211,Sunway Bhd (SWAY),"Mar 30, 2018",0.06,"Apr 26, 2018",3.85%
5211,Sunway Bhd (SWAY),"Oct 13, 2017",0.047,"Oct 26, 2017",2.94%
5211,Sunway Bhd (SWAY),"Apr 04, 2017",0.0891,"Apr 28, 2017",2.00%
5211,Sunway Bhd (SWAY),"Oct 12, 2016",0.11,"Oct 27, 2016",3.48%
5211,Sunway Bhd (SWAY),"Mar 30, 2016",0.11,"Apr 28, 2016",3.55%
65,Excel Force MSC Bhd (EXFM),"May 31, 2017",0.0125,"Jun 16, 2017",1.71%
65,Excel Force MSC Bhd (EXFM),"Jun 15, 2016",0.03,"Jul 01, 2016",1.28%
65,Excel Force MSC Bhd (EXFM),"Mar 09, 2016",0.03,"Mar 25, 2016",1.78%
65,Excel Force MSC Bhd (EXFM),"Dec 04, 2015",0.035,"Dec 23, 2015",3.89%
65,Excel Force MSC Bhd (EXFM),"Jun 10, 2015",0.02,"Jun 30, 2015",-
5005,Unisem M Bhd (UNSM),"Aug 20, 2018",0.1,"Sep 07, 2018",3.47%
5005,Unisem M Bhd (UNSM),"Apr 28, 2017",0.11,"May 19, 2017",4.07%
5005,Unisem M Bhd (UNSM),"Dec 06, 2016",0.11,"Jan 06, 2017",3.49%
5005,Unisem M Bhd (UNSM),"Aug 18, 2016",0.09,"Sep 05, 2016",3.38%
5005,Unisem M Bhd (UNSM),"May 03, 2016",0.1,"May 20, 2016",3.68%
5005,Unisem M Bhd (UNSM),"Nov 25, 2015",0.08,"Dec 15, 2015",3.56%
5288,Sime Darby Property Bhd (SIPR),"Apr 12, 2018",0.04,"Apr 26, 2018",3.13%
1481,Advance Synergy Bhd (ADVA),"Jul 25, 2018",0.0025,"Aug 15, 2018",1.56%
1481,Advance Synergy Bhd (ADVA),"Jul 26, 2017",0.0025,"Aug 18, 2017",2.00%
1481,Advance Synergy Bhd (ADVA),"Jul 26, 2016",0.0025,"Aug 23, 2016",1.28%
1481,Advance Synergy Bhd (ADVA),"Aug 20, 2015",0.0025,"Sep 18, 2015",2.17%
8583,Mah Sing Group Bhd (MAHS),"Sep 12, 2018",0.065,"Sep 27, 2018",5.33%
8583,Mah Sing Group Bhd (MAHS),"Aug 29, 2017",0.065,"Sep 14, 2017",6.44%
8583,Mah Sing Group Bhd (MAHS),"Aug 30, 2016",0.065,"Sep 15, 2016",4.42%
8583,Mah Sing Group Bhd (MAHS),"Sep 02, 2015",0.065,"Sep 17, 2015",4.45%
1015,AMMB Holdings Bhd (AMMB),"Aug 09, 2018",0.15,"Aug 28, 2018",3.67%
1015,AMMB Holdings Bhd (AMMB),"Dec 13, 2017",0.176,"Dec 28, 2017",4.80%
1015,AMMB Holdings Bhd (AMMB),"Aug 04, 2017",0.176,"Aug 22, 2017",4.16%
1015,AMMB Holdings Bhd (AMMB),"Dec 06, 2016",0.155,"Dec 22, 2016",3.18%
1015,AMMB Holdings Bhd (AMMB),"Aug 24, 2016",0.155,"Sep 09, 2016",3.73%
1015,AMMB Holdings Bhd (AMMB),"Dec 02, 2015",0.203,"Dec 18, 2015",4.70%
3395,Berjaya Corporation Bhd (BGRO),"Dec 07, 2015",0.01,"Dec 30, 2015",2.94%
1961,IOI Corporation Bhd (IOIB),"Sep 04, 2018",0.09,"Sep 21, 2018",2.01%
1961,IOI Corporation Bhd (IOIB),"Mar 16, 2018",0.095,"Mar 30, 2018",2.10%
1961,IOI Corporation Bhd (IOIB),"Aug 24, 2017",0.095,"Sep 15, 2017",1.99%
1961,IOI Corporation Bhd (IOIB),"Mar 03, 2017",0.09,"Mar 16, 2017",2.02%
1961,IOI Corporation Bhd (IOIB),"Sep 07, 2016",0.08,"Sep 23, 2016",1.81%
1961,IOI Corporation Bhd (IOIB),"Mar 04, 2016",0.08,"Mar 18, 2016",1.80%
9679,WCT Holdings Bhd (WCTE),"Jun 07, 2018",0.03,"Jun 22, 2018",3.24%
9679,WCT Holdings Bhd (WCTE),"Jun 01, 2016",0.0298,"Jun 13, 2016",1.81%
9679,WCT Holdings Bhd (WCTE),"Sep 11, 2015",0.0196,"Oct 09, 2015",1.20%
4456,Dagang Nexchange Bhd (DNEX),"Sep 07, 2017",0.005,"Oct 02, 2017",1.27%
4456,Dagang Nexchange Bhd (DNEX),"Jan 26, 2017",0.005,"Feb 28, 2017",1.00%
4456,Dagang Nexchange Bhd (DNEX),"May 26, 2016",0.0096,"Jun 15, 2016",3.37%
6033,Petronas Gas Bhd (PGAS),"Aug 29, 2018",0.67,"Sep 14, 2018",3.53%
6033,Petronas Gas Bhd (PGAS),"May 31, 2018",0.67,"Jun 12, 2018",3.59%
6033,Petronas Gas Bhd (PGAS),"Mar 12, 2018",0.66,"Mar 23, 2018",3.77%
6033,Petronas Gas Bhd (PGAS),"Nov 23, 2017",0.66,"Dec 08, 2017",3.73%
6033,Petronas Gas Bhd (PGAS),"Aug 28, 2017",0.65,"Sep 14, 2017",3.67%
6033,Petronas Gas Bhd (PGAS),"May 26, 2017",0.63,"Jun 14, 2017",3.35%
5142,Wah Seong Corporation Bhd (WAHE),"Sep 15, 2016",0.005,"Oct 05, 2016",0.40%
